        2.00000e-01 4.00000e-01 6.000000e-01
3.006648e+03 0.000000e+00 0.000000e+00 0.000000e+00
3.334898e+03 0.000000e+00 0.000000e+00 0.000000e+00
3.698985e+03 0.000000e+00 0.000000e+00 0.000000e+00
4.102821e+03 0.000000e+00 0.000000e+00 0.000000e+00
4.550746e+03 0.000000e+00 0.000000e+00 0.000000e+00
5.047573e+03 0.000000e+00 0.000000e+00 0.000000e+00
5.598640e+03 0.000000e+00 0.000000e+00 0.000000e+00
6.209871e+03 0.000000e+00 0.000000e+00 0.000000e+00
6.887833e+03 0.000000e+00 0.000000e+00 0.000000e+00
7.639810e+03 0.000000e+00 0.000000e+00 0.000000e+00
8.473885e+03 0.000000e+00 0.000000e+00 0.000000e+00
9.399020e+03 0.000000e+00 0.000000e+00 0.000000e+00
1.042516e+04 0.000000e+00 0.000000e+00 0.000000e+00
1.156332e+04 0.000000e+00 0.000000e+00 0.000000e+00
1.282574e+04 0.000000e+00 0.000000e+00 0.000000e+00
1.422599e+04 0.000000e+00 0.000000e+00 0.000000e+00
1.577911e+04 0.000000e+00 0.000000e+00 0.000000e+00
1.750179e+04 0.000000e+00 0.000000e+00 0.000000e+00
1.941255e+04 0.000000e+00 0.000000e+00 0.000000e+00
2.153191e+04 0.000000e+00 0.000000e+00 0.000000e+00
2.388265e+04 0.000000e+00 0.000000e+00 0.000000e+00
2.649004e+04 0.000000e+00 0.000000e+00 0.000000e+00
2.938208e+04 0.000000e+00 0.000000e+00 0.000000e+00
3.258987e+04 0.000000e+00 0.000000e+00 0.000000e+00
3.614786e+04 0.000000e+00 0.000000e+00 0.000000e+00
4.009429e+04 0.000000e+00 0.000000e+00 0.000000e+00
4.447158e+04 0.000000e+00 0.000000e+00 0.000000e+00
4.932676e+04 0.000000e+00 0.000000e+00 0.000000e+00
5.471200e+04 0.000000e+00 0.000000e+00 0.000000e+00
6.068517e+04 0.000000e+00 0.000000e+00 0.000000e+00
6.731046e+04 0.000000e+00 0.000000e+00 0.000000e+00
7.465907e+04 0.000000e+00 0.000000e+00 0.000000e+00
8.280996e+04 0.000000e+00 0.000000e+00 0.000000e+00
9.185072e+04 0.000000e+00 0.000000e+00 0.000000e+00
1.018785e+05 0.000000e+00 0.000000e+00 0.000000e+00
1.130011e+05 0.000000e+00 0.000000e+00 0.000000e+00
1.253379e+05 0.000000e+00 0.000000e+00 0.000000e+00
1.390217e+05 0.000000e+00 0.000000e+00 0.000000e+00
1.541994e+05 0.000000e+00 0.000000e+00 0.000000e+00
1.710341e+05 0.000000e+00 0.000000e+00 0.000000e+00
1.897067e+05 0.000000e+00 0.000000e+00 0.000000e+00
2.104179e+05 0.000000e+00 0.000000e+00 0.000000e+00
2.333902e+05 0.000000e+00 0.000000e+00 0.000000e+00
2.588705e+05 0.000000e+00 0.000000e+00 0.000000e+00
2.871327e+05 0.000000e+00 0.000000e+00 0.000000e+00
3.184803e+05 0.000000e+00 0.000000e+00 0.000000e+00
3.532503e+05 0.000000e+00 0.000000e+00 0.000000e+00
3.918164e+05 0.000000e+00 0.000000e+00 0.000000e+00
4.345929e+05 0.000000e+00 0.000000e+00 0.000000e+00
4.820394e+05 0.000000e+00 0.000000e+00 0.000000e+00
5.346660e+05 0.000000e+00 0.000000e+00 0.000000e+00
5.930381e+05 0.000000e+00 0.000000e+00 0.000000e+00
6.577829e+05 0.000000e+00 0.000000e+00 0.000000e+00
7.295962e+05 0.000000e+00 0.000000e+00 0.000000e+00
8.092498e+05 0.000000e+00 0.000000e+00 0.000000e+00
8.975995e+05 0.000000e+00 0.000000e+00 0.000000e+00
9.955947e+05 0.000000e+00 0.000000e+00 0.000000e+00
1.104289e+06 0.000000e+00 0.000000e+00 0.000000e+00
1.224849e+06 0.000000e+00 0.000000e+00 0.000000e+00
1.358572e+06 0.000000e+00 0.000000e+00 0.000000e+00
1.506894e+06 0.000000e+00 0.000000e+00 0.000000e+00
1.671408e+06 0.000000e+00 0.000000e+00 0.000000e+00
1.853884e+06 0.000000e+00 0.000000e+00 0.000000e+00
2.056282e+06 0.000000e+00 0.000000e+00 0.000000e+00
2.280776e+06 0.000000e+00 0.000000e+00 0.000000e+00
2.529779e+06 0.000000e+00 0.000000e+00 0.000000e+00
2.805967e+06 0.000000e+00 0.000000e+00 0.000000e+00
3.112308e+06 0.000000e+00 0.000000e+00 0.000000e+00
